stop_id,stop_name,stop_lon,stop_lat
PR-V-139,Av. Argentina esq. Colon,-71.60246936999994,-33.051683553999965
PR-V-145,Av. Argentina esq. Domingo Faustino Sarmiento,-71.60287743099997,-33.049510700999974
PR-V-137,Av. Argentina esq. Pasaje Don Bosco,-71.60263430199996,-33.050118090999945
PR-V-136,Av. Argentina esq. San Jose,-71.60355647499995,-33.04783892299997
PR-V-147,Av. Argentina esq. Victoria,-71.60303838599998,-33.05029599299996
PR-M-19,Av. Benidorm esq. 3 Oriente,-71.54461342199994,-33.00874530999994
PR-M-20,Av. Benidorm esq. Pasaje Gatry,-71.54563948899994,-33.008378268999934
PR-M-299,Av. Benjamin Vicuna Mackenna esq. Anibal Pinto,-71.53510688699998,-32.97261507299993
PR-M-303,Av. Benjamin Vicuna Mackenna esq.  Av. Benjamin Vicuna Mackenna,-71.53291888499996,-32.97217015999996
PR-M-298,Av. Benjamin Vicuna Mackenna esq. Portales,-71.54036148899996,-32.97300406399995
PR-M-286,Av. Benjamin Vicuna Mackenna esq. Simpson,-71.54265234599995,-32.97316469899994
PF-024,Av. Bernardo O´Higgins con Holanda,-71.55502348599998,-33.11792053099998
PF-025,Av. Bernardo O´Higgins con Segunda Independencia,-71.55820488899997,-33.11708552699997
PR-V-333,Av. Bernardo OHiggins esq. Bergantin,-71.58510747099996,-33.06497319099998
PR-V-338,Av. Bernardo OHiggins esq. Camino Real,-71.58348312499999,-33.07380226099997
PR-V-335,Av. Bernardo OHiggins esq. Las Cuatro Tablas,-71.58402889699994,-33.06631559199997
PR-V-326,Av. Bernardo OHiggins esq. Marinero Cantillano,-71.58944119399996,-33.06311049499993
PR-V-331,Av. Bernardo OHiggins esq. Navio San Martin,-71.58616922499994,-33.06297699399994
PR-V-327,Av. Bernardo OHiggins esq. Navio San Martin,-71.58625177299996,-33.06303613699998
PR-V-330,Av. Bernardo OHiggins esq. Pasaje Olga,-71.58748198399996,-33.06440475599993
PR-V-336,Av. Bernardo OHiggins esq. Pasaje Tres,-71.58291567399993,-33.069439983999985
PR-V-334,Av. Bernardo OHiggins esq. Thomas Kingston,-71.58454016699994,-33.065986530999965
PR-V-343,Av. Bernardo OHiggins esq. Til Til,-71.58418715599998,-33.07245275199995
PR-V-337,Av. Bernardo OHiggins esq. Villa Virginia,-71.58417671799998,-33.07267182499993
PF-021,Av. Borde Laguna con Av. Las Lomas,-71.57120223499999,-33.14341409399998
PR-C-074,Av. Borgono esq. Av. Labarca,-71.52143219099997,-32.91822261799996
PR-C-007,Av. Borgono esq. Barros,-71.52468783499995,-32.92409611199997
PR-C-038,Av. Borgono esq. Barros,-71.52680806699993,-32.92611960099998
PR-C-075,Av. Borgono esq. Barros,-71.52393102099995,-32.92201436399995
PR-M-551,Av. Borgono esq. El Encanto,-71.54638368299999,-32.96330630699998
PR-M-555,Av. Borgono esq. El Encanto,-71.54568334899994,-32.96676422999997
PR-M-549,Av. Borgono esq. El Encanto,-71.54567182599999,-32.96669249399997
PR-M-586,Av. Borgono esq. Eurocochoa Norte (Hito),-71.54679837199996,-32.95479111199995
PR-M-585,Av. Borgono esq. Eurocochoa Norte (Hito),-71.54681350699997,-32.95483451299998
PR-C-018,Av. Borgono esq. Las Pimpinelas,-71.55075941899997,-32.93036173999997
PR-C-033,Av. Borgono esq. Las Pimpinelas,-71.54984663699997,-32.93582849399996
PR-C-011,Av. Borgono esq. Los Lienes,-71.54032586499994,-32.929697215999965
PR-C-015,Av. Borgono esq. Los Lilenes,-71.54663443599998,-32.92818667999995
PR-C-073,Av. Borgono esq. Pedro De Valdivia,-71.51754661399997,-32.91921586099994
PR-M-285,Av. Borgono esq. Rafael Sotomayor,-71.54346303499995,-32.97100673199998
PR-M-22,Av. Borgono esq. San Fabian,-71.53153717699996,-32.92954980199994
PR-C-072,Av. Borgono esq. Santa Laura,-71.51288377599997,-32.920478559999935
PR-C-037,Av. Borgono esq. Santuario Roca Oceanico (Hito),-71.55288246599997,-32.94132638099995
PF-034,Av. Boulevard con Av. Cardenal Samoré,-71.56822785199995,-33.12872384699995
PF-033,Av. Boulevard con Av. Curauma Norte,-71.56710423199996,-33.12781729599993
PF-032,Av. Boulevard con Av. Fundadores,-71.56510419099999,-33.12623833699996
PF-040,Av. Boulevard con Curauma Norte,-71.56700912299993,-33.12806139799994
